Input CV,note number,pitch,adc code,period reg,castor calibrated dac code,pollux calibrated dac code,output frequency,frequency delta,output voltage,charge voltage,,,TCC GCLK,TCC DIV
6.249998,87,"1,244.51",-171,6427,2350,2350,"1,244.56",0.05,3.28,1.893,,,,
6.333331,88,"1,318.51",-228,6066,2495,2495,"1,318.61",0.10,3.28,2.01,,,,
6.416664,89,"1,396.91",-284,5726,2638,2638,"1,396.89",-0.02,3.28,2.125,,,,
6.499997,90,"1,479.98",-341,5404,2801,2801,"1,480.11",0.13,3.28,2.257,,,,
6.583331,91,"1,567.98",-398,5101,2991,2991,"1,568.01",0.03,3.28,2.41,,,,
6.666664,92,"1,661.22",-455,4815,3159,3159,"1,661.13",-0.09,3.28,2.545,,,,
6.749997,93,"1,760.00",-512,4544,3359,3359,"1,760.18",0.18,3.28,2.706,,,,
6.833331,94,"1,864.66",-569,4289,3559,3559,"1,864.80",0.15,3.28,2.867,,,,
6.916664,95,"1,975.53",-626,4049,3780,3780,"1,975.31",-0.22,3.28,3.045,,,,
6.999997,96,"2,093.00",-683,3821,4010,4010,"2,093.14",0.14,3.28,3.231,,,,
